CÓDIGO,NOMBRE,MODALIDAD,CATEGORÍA,DIRECCIÓN,LOCALIDAD,ZONA,ESPECIALIDAD,COORDENADAS
UR000992,La Mar Salada,Restaurantes,Sin definir,Calle Leyre 12,PAMPLONA,Cuenca de Pamplona,Innovadora,"(42.8145321, -1.6386752)"
UR000976,La Nuez,Restaurantes,Segunda/2 Tenedores,Calle Taconera 4 bajo,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.8159089, -1.6478535)"
ur000525,La Olla,Restaurantes,Sin definir,Roncesvalles 2,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(43.0169504, -1.3035514)"
ur000320,La Oreja,Restaurantes,Sin definir,Calle Jarauta 19,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(20.6713076, -103.3320545)"
UR000095,La Plaza,Restaurantes,Sin definir,Calle Mayor 52,PUENTE LA REINA,Zona Media,Casera o regional,"(33.8080372, -118.389302)"
ur000139,La Plaza,Restaurantes,Sin definir,Travesía Tafalla 3,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8128758, -1.6355215)"
uc000144,La Posada,Cafeterías,Segunda/1 Taza,"Iturrama, 16-18 0",PAMPLONA,Cuenca de Pamplona,No definida,"(42.8061837, -1.6528694)"
uc000072,La Rocha,Cafeterías,Segunda/1 Taza,"Marcelo Celayeta, 20-22 0",PAMPLONA,Cuenca de Pamplona,No definida,"(42.8259588, -1.654428)"
UR000513,La Runa,Restaurantes,Sin definir,Errotazar 26,PAMPLONA,Cuenca de Pamplona,Sidrería,"(42.82352789999999, -1.645708)"
UR001037,La Sangiovesa,Restaurantes,Segunda/2 Tenedores,García Castañón 6 bajo,PAMPLONA,Cuenca de Pamplona,Italiano,"(42.8148179, -1.6440044)"
UR000538,La Servicial Vinicola,Restaurantes,Sin definir,Navarro Villoslada 11,PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8114256, -1.6417614)"
UR001025,La Tagliatella,Restaurantes,Segunda/2 Tenedores,Pl. del Castillo 37,PAMPLONA,Cuenca de Pamplona,Internacional,"(42.81695200000001, -1.6436083)"
UR000138,La Taula,Restaurantes,Tercera/1 tenedor,"Parque de los Enamorados, 18-1 0",PAMPLONA,Cuenca de Pamplona,Casera o regional,"(42.8244131, -1.6535059)"
UC000173,La Terraza del Labrit,Cafeterías,Segunda/1 Taza,Tejería 18,PAMPLONA,Cuenca de Pamplona,Rápida,"(40.36246999999999, -0.4499034)"
UR0001081,La Torreta,Restaurantes,Tercera/1 tenedor,Mayor 64,PUENTE LA REINA,Zona Media,No definida,"(35.2894921, -95.5822563)"
